,f1-score,precision,recall,support
Comercial,0.6538461538461539,0.6938775510204082,0.6181818181818182,55.0
Executive,0.0,0.0,0.0,0.0
Generic,0.6176470588235294,0.7924528301886793,0.5060240963855421,83.0
Military,0.5263157894736842,0.37037037037037035,0.9090909090909091,11.0
Other,0.0,0.0,0.0,0.0
micro avg,0.5771812080536913,0.5771812080536913,0.5771812080536913,149.0
macro avg,0.3595618004286735,0.37134015031589157,0.4066593647316539,149.0
weighted avg,0.6242665639469929,0.724905532119845,0.5771812080536913,149.0
