,f1-score,precision,recall,support
Comercial,0.6115702479338843,0.7551020408163265,0.5138888888888888,72.0
Executive,0.0,0.0,0.0,0.0
Generic,0.5833333333333333,0.660377358490566,0.5223880597014925,67.0
Military,0.48648648648648646,0.3333333333333333,0.9,10.0
Other,0.0,0.0,0.0,0.0
micro avg,0.5436241610738255,0.5436241610738255,0.5436241610738255,149.0
macro avg,0.3362780135507408,0.3497625465280451,0.38725538971807627,149.0
weighted avg,0.5904782285197172,0.6842010959125957,0.5436241610738255,149.0
