,f1-score,precision,recall,support
Comercial,0.5294117647058824,0.6428571428571429,0.45,60.0
Executive,0.0,0.0,0.0,0.0
Generic,0.5797101449275363,0.7272727272727273,0.4819277108433735,83.0
Military,0.3243243243243243,0.1935483870967742,1.0,6.0
Other,0.0,0.0,0.0,0.0
micro avg,0.4899328859060403,0.4899328859060403,0.4899328859060403,149.0
macro avg,0.2866892467915486,0.3127356514453289,0.3863855421686747,149.0
weighted avg,0.5491717708542577,0.6717876191788295,0.4899328859060403,149.0
