,f1-score,precision,recall,support
Comercial,0.6185567010309279,0.625,0.6122448979591837,49.0
Executive,0.18181818181818182,0.25,0.14285714285714285,14.0
Generic,0.5,0.4909090909090909,0.5094339622641509,53.0
Military,0.5625,0.4864864864864865,0.6666666666666666,27.0
Other,0.2857142857142857,1.0,0.16666666666666666,6.0
micro avg,0.5234899328859061,0.5234899328859061,0.5234899328859061,149.0
macro avg,0.42971783371267913,0.5704791154791156,0.4195738672827621,149.0
weighted avg,0.511788715505072,0.5320692412974292,0.5234899328859061,149.0
