,f1-score,precision,recall,support
Comercial,0.6101694915254238,0.7346938775510204,0.5217391304347826,69.0
Executive,0.0,0.0,0.0,0.0
Generic,0.5806451612903225,0.6792452830188679,0.5070422535211268,71.0
Military,0.4444444444444444,0.2962962962962963,0.8888888888888888,9.0
Other,0.0,0.0,0.0,0.0
micro avg,0.5369127516778524,0.5369127516778524,0.5369127516778524,149.0
macro avg,0.32705181945203815,0.3420470913732369,0.3835340545689596,149.0
weighted avg,0.5860906132004506,0.6817916732350786,0.5369127516778524,149.0
